epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1464.5,1.86857,2.05134,1.75652,0.43769,0.32876,0.3027,0.12712,2.08149,2.22472,1.97719,0.00118385,0.00118385,0.00118385
43,1500.65,1.87515,2.05881,1.76909,0.45836,0.32117,0.30296,0.11795,2.14587,2.22869,2.01824,0.00117253,0.00117253,0.00117253
44,1536.84,1.85197,2.04575,1.76483,0.40959,0.31786,0.29164,0.12136,2.12262,2.22584,2.00209,0.00116102,0.00116102,0.00116102
45,1574.32,1.85454,2.00953,1.74202,0.45401,0.32359,0.29471,0.11795,2.16201,2.26892,2.02238,0.00114931,0.00114931,0.00114931
46,1610.62,1.85505,2.03354,1.75549,0.47091,0.33635,0.32077,0.13336,2.10986,2.16277,2.00137,0.00113742,0.00113742,0.00113742
47,1648.31,1.83574,1.97178,1.72286,0.43737,0.32861,0.30519,0.12788,2.12239,2.202,1.97273,0.00112534,0.00112534,0.00112534
48,1685.03,1.82066,1.94066,1.71723,0.43165,0.32331,0.30296,0.1241,2.10695,2.21802,1.96863,0.00111309,0.00111309,0.00111309
49,1721.41,1.80544,1.94065,1.70981,0.47982,0.31711,0.31698,0.13256,2.08931,2.17919,1.99971,0.00110066,0.00110066,0.00110066
50,1756.93,1.81458,1.94257,1.72413,0.45623,0.34038,0.32384,0.13452,2.08536,2.15373,1.97298,0.00108807,0.00108807,0.00108807
51,1792.88,1.82379,1.94314,1.71795,0.42409,0.33239,0.31669,0.12847,2.1296,2.15585,1.99836,0.00107532,0.00107532,0.00107532
52,1828.77,1.80018,1.89346,1.7036,0.44534,0.33738,0.31899,0.13817,2.08759,2.10782,1.96359,0.00106242,0.00106242,0.00106242
53,1864.6,1.78528,1.86793,1.69542,0.45262,0.34769,0.32663,0.13947,2.08908,2.10959,1.97806,0.00104936,0.00104936,0.00104936
54,1899.59,1.78072,1.85009,1.68845,0.51323,0.34026,0.33768,0.14842,2.05949,2.09559,1.94239,0.00103616,0.00103616,0.00103616
55,1935.27,1.76459,1.82469,1.68494,0.43369,0.366,0.32607,0.14524,2.08959,2.05201,1.98894,0.00102282,0.00102282,0.00102282
56,1970.92,1.74925,1.8237,1.67037,0.46256,0.35209,0.33108,0.15483,2.05954,2.06714,1.94966,0.00100935,0.00100935,0.00100935
57,2005.43,1.72193,1.76349,1.66351,0.46317,0.37733,0.35652,0.16368,2.04459,1.9964,1.96112,0.000995756,0.000995756,0.000995756
58,2039.77,1.73675,1.78443,1.6485,0.46291,0.35338,0.32914,0.14395,2.07182,2.08712,1.98671,0.00098204,0.00098204,0.00098204
59,2074.21,1.73339,1.79819,1.66464,0.52784,0.35345,0.35821,0.1575,2.06332,2.03449,1.95926,0.000968209,0.000968209,0.000968209
60,2108.74,1.7073,1.73673,1.64355,0.5077,0.35163,0.35042,0.15856,2.04114,2.02012,1.94087,0.00095427,0.00095427,0.00095427
61,2144.34,1.71882,1.73011,1.63633,0.47681,0.38572,0.35522,0.16026,2.05497,2.02658,1.94896,0.00094023,0.00094023,0.00094023
