epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.7622,2.44808,3.66474,2.17395,0.15296,0.09024,0.03532,0.0099,2.71825,5.60517,2.64383,0.000473891,0.000473891,0.000473891
2,122.71,2.51468,3.33065,2.28158,0.35955,0.10622,0.01481,0.00422,2.85871,4.35033,2.74604,0.000950121,0.000950121,0.000950121
3,182.656,2.53724,3.36649,2.32978,0.09563,0.08325,0.02451,0.00648,2.7912,4.3246,2.59156,0.00142594,0.00142594,0.00142594
4,242.371,2.48742,3.35171,2.30571,0.14096,0.1102,0.04815,0.01396,2.61568,3.75042,2.48515,0.0014276,0.0014276,0.0014276
5,302.336,2.44696,3.31789,2.25155,0.17169,0.10684,0.07649,0.02578,2.5708,3.35969,2.40591,0.00142652,0.00142652,0.00142652
6,362.036,2.39628,3.1552,2.20018,0.17075,0.13906,0.07707,0.02504,2.5013,3.26118,2.32726,0.00142513,0.00142513,0.00142513
7,421.107,2.35804,3.11267,2.21433,0.18382,0.15733,0.08179,0.02505,2.47401,3.1783,2.33388,0.00142342,0.00142342,0.00142342
8,479.971,2.33121,3.05119,2.17581,0.27002,0.14553,0.10503,0.03542,2.47194,3.04891,2.35463,0.00142141,0.00142141,0.00142141
9,539.058,2.28964,3.01473,2.13181,0.19508,0.12378,0.09053,0.02942,2.42312,3.13468,2.28414,0.00141909,0.00141909,0.00141909
10,598.062,2.26026,2.92925,2.09112,0.21272,0.17854,0.11802,0.03885,2.47765,2.90081,2.28243,0.00141647,0.00141647,0.00141647
11,657.038,2.25988,2.95196,2.09997,0.26364,0.17476,0.11859,0.04241,2.44129,2.95372,2.23154,0.00141354,0.00141354,0.00141354
12,716.002,2.23749,2.92755,2.0908,0.26418,0.17199,0.12047,0.03877,2.37812,2.92947,2.22581,0.00141031,0.00141031,0.00141031
13,774.9,2.23608,2.90458,2.07609,0.20023,0.17683,0.1123,0.04289,2.36708,2.94204,2.23071,0.00140678,0.00140678,0.00140678
14,833.816,2.19037,2.82843,2.05274,0.20414,0.1726,0.11207,0.04037,2.38382,2.95609,2.26067,0.00140294,0.00140294,0.00140294
15,892.697,2.15565,2.78788,2.02214,0.25954,0.22764,0.15388,0.05352,2.30716,2.76359,2.18551,0.00139881,0.00139881,0.00139881
16,951.79,2.14782,2.7703,2.00998,0.2559,0.21458,0.15156,0.05318,2.2899,2.77848,2.16309,0.00139438,0.00139438,0.00139438
17,1010.71,2.16774,2.76861,2.01843,0.29991,0.20107,0.16615,0.05724,2.29741,2.73463,2.14857,0.00138965,0.00138965,0.00138965
18,1069.65,2.14613,2.75045,2.00088,0.3174,0.23651,0.18171,0.06194,2.28059,2.70645,2.14985,0.00138464,0.00138464,0.00138464
19,1128.66,2.14125,2.68376,1.99581,0.31277,0.22263,0.15586,0.06017,2.24617,2.80383,2.15056,0.00137933,0.00137933,0.00137933
20,1187.61,2.12737,2.69103,1.99414,0.30515,0.24127,0.17264,0.06498,2.25184,2.70405,2.15826,0.00137373,0.00137373,0.00137373
21,1246.63,2.10817,2.64164,1.97071,0.30357,0.22757,0.17368,0.06411,2.26947,2.65504,2.12718,0.00136785,0.00136785,0.00136785
22,1305.75,2.10502,2.64484,1.96778,0.28656,0.24141,0.17774,0.06935,2.24111,2.65039,2.13266,0.00136168,0.00136168,0.00136168
23,1364.77,2.09077,2.63409,1.95732,0.34617,0.23525,0.20245,0.07567,2.2433,2.61329,2.11815,0.00135523,0.00135523,0.00135523
24,1423.86,2.07378,2.57604,1.95501,0.32248,0.24055,0.19308,0.06862,2.26286,2.5887,2.15485,0.00134851,0.00134851,0.00134851
25,1482.96,2.07695,2.57038,1.96524,0.31485,0.24089,0.19905,0.07164,2.2229,2.70941,2.09168,0.0013415,0.0013415,0.0013415
26,1541.95,2.06048,2.51165,1.93519,0.31145,0.26215,0.19577,0.07206,2.22909,2.57144,2.11601,0.00133423,0.00133423,0.00133423
27,1600.9,2.05227,2.56297,1.94395,0.28892,0.27541,0.18257,0.06811,2.19669,2.60697,2.08565,0.00132669,0.00132669,0.00132669
28,1659.75,2.05347,2.5062,1.92716,0.28197,0.24321,0.1934,0.07114,2.20794,2.55369,2.0629,0.00131888,0.00131888,0.00131888
29,1718.45,2.04831,2.51446,1.94308,0.35594,0.26036,0.2207,0.08246,2.22133,2.50606,2.0842,0.00131082,0.00131082,0.00131082
