epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2888.76,1.92501,2.26976,1.84348,0.40983,0.30063,0.25909,0.1067,2.13242,2.38167,2.08541,0.00118385,0.00118385,0.00118385
43,2955.97,1.94212,2.2731,1.85759,0.39625,0.30127,0.25442,0.10541,2.12139,2.39554,2.04494,0.00117253,0.00117253,0.00117253
44,3023.57,1.94166,2.24343,1.86307,0.36369,0.32068,0.26685,0.10749,2.1554,2.32978,2.04966,0.00116102,0.00116102,0.00116102
45,3091.26,1.94124,2.24777,1.84467,0.46492,0.30779,0.28861,0.11492,2.13095,2.27568,2.02754,0.00114931,0.00114931,0.00114931
46,3159,1.92871,2.2487,1.85932,0.37336,0.31176,0.27225,0.11597,2.08932,2.31976,2.01253,0.00113742,0.00113742,0.00113742
47,3226.47,1.91415,2.2109,1.82393,0.37551,0.31142,0.27255,0.11315,2.12668,2.29648,2.04282,0.00112534,0.00112534,0.00112534
48,3293.9,1.90726,2.21192,1.82467,0.39868,0.30496,0.27173,0.10652,2.10512,2.34903,2.03906,0.00111309,0.00111309,0.00111309
49,3361.69,1.89075,2.15537,1.81158,0.37941,0.32937,0.27313,0.10723,2.17389,2.29376,2.06606,0.00110066,0.00110066,0.00110066
50,3430.13,1.88948,2.1535,1.80925,0.41267,0.33004,0.29377,0.11718,2.11221,2.25078,2.03785,0.00108807,0.00108807,0.00108807
51,3498.88,1.87425,2.12731,1.7952,0.43628,0.33182,0.30234,0.12341,2.09556,2.21412,2.02441,0.00107532,0.00107532,0.00107532
52,3567.6,1.88418,2.13067,1.81651,0.40027,0.3191,0.28811,0.11833,2.14198,2.21114,2.06224,0.00106242,0.00106242,0.00106242
53,3636.33,1.86692,2.0925,1.80079,0.39927,0.32735,0.30102,0.12302,2.11479,2.19972,2.0254,0.00104936,0.00104936,0.00104936
54,3705.02,1.86458,2.08899,1.7903,0.4259,0.34484,0.31105,0.12766,2.1161,2.22398,2.02325,0.00103616,0.00103616,0.00103616
55,3773.59,1.86276,2.07969,1.78074,0.4449,0.34225,0.32377,0.13361,2.1012,2.18876,2.05529,0.00102282,0.00102282,0.00102282
56,3842.28,1.85694,2.04638,1.78414,0.48598,0.32122,0.31205,0.13131,2.11316,2.17702,2.02449,0.00100935,0.00100935,0.00100935
57,3910.82,1.80289,1.9925,1.75074,0.43393,0.33704,0.30413,0.1293,2.06841,2.18314,1.99599,0.000995756,0.000995756,0.000995756
58,3979.35,1.84204,2.02335,1.76366,0.41592,0.33733,0.3111,0.13253,2.11168,2.16367,2.02714,0.00098204,0.00098204,0.00098204
59,4048.08,1.83419,2.01047,1.76476,0.48628,0.32863,0.32661,0.13753,2.07778,2.10645,1.99086,0.000968209,0.000968209,0.000968209
60,4116.8,1.82742,1.95956,1.74398,0.46858,0.34647,0.32596,0.13483,2.0872,2.14206,2.01663,0.00095427,0.00095427,0.00095427
61,4185.44,1.81005,1.98805,1.74987,0.43348,0.36103,0.32368,0.13478,2.08717,2.11801,2.0119,0.00094023,0.00094023,0.00094023
62,4254.1,1.77493,1.92694,1.7113,0.49282,0.34968,0.33475,0.14521,2.09816,2.08641,2.01363,0.000926093,0.000926093,0.000926093
63,4322.74,1.78239,1.87212,1.69995,0.42573,0.33903,0.31527,0.13775,2.09726,2.1139,2.01782,0.000911867,0.000911867,0.000911867
64,4391.49,1.8004,1.94593,1.73445,0.48944,0.32667,0.32378,0.13749,2.07685,2.10573,1.9958,0.000897557,0.000897557,0.000897557
65,4460.2,1.77766,1.89265,1.71222,0.45772,0.34229,0.3284,0.14184,2.08366,2.09135,2.00655,0.00088317,0.00088317,0.00088317
66,4528.84,1.76135,1.89872,1.70817,0.48651,0.3243,0.32137,0.1443,2.06715,2.09397,2.00176,0.000868712,0.000868712,0.000868712
67,4597.78,1.75728,1.88816,1.70168,0.47184,0.35855,0.3384,0.15096,2.05532,2.04777,1.97171,0.00085419,0.00085419,0.00085419
68,4666.58,1.75596,1.86559,1.69392,0.45656,0.36189,0.33304,0.14932,2.04999,2.04737,1.96903,0.00083961,0.00083961,0.00083961
69,4735.34,1.73265,1.83806,1.67148,0.44685,0.37472,0.3447,0.15549,2.05307,2.04426,1.98288,0.000824978,0.000824978,0.000824978
70,4804.2,1.74274,1.83363,1.68168,0.4522,0.36264,0.34166,0.15269,2.04344,2.0319,1.96904,0.0008103,0.0008103,0.0008103
