epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,826.787,1.90124,2.13997,1.75286,0.40638,0.30684,0.28944,0.12166,2.10542,2.25179,1.9174,0.000918991,0.000918991,0.000918991
43,847.126,1.88374,2.11354,1.74534,0.45301,0.32835,0.3057,0.12232,2.11947,2.24904,1.95935,0.000897557,0.000897557,0.000897557
44,867.906,1.87202,2.09715,1.74821,0.42152,0.34659,0.30067,0.12829,2.11446,2.18911,1.94434,0.00087595,0.00087595,0.00087595
45,888.399,1.88568,2.06657,1.73527,0.43371,0.33068,0.29308,0.12097,2.14011,2.27724,1.98777,0.00085419,0.00085419,0.00085419
46,908.599,1.88176,2.08732,1.74567,0.43071,0.33396,0.31173,0.12926,2.13489,2.21277,1.97295,0.0008323,0.0008323,0.0008323
47,928.832,1.87838,2.03029,1.72528,0.40057,0.32954,0.29266,0.12308,2.12661,2.24441,1.98827,0.0008103,0.0008103,0.0008103
48,948.275,1.8413,1.99886,1.71337,0.43202,0.34776,0.32642,0.14155,2.0812,2.13827,1.93797,0.000788213,0.000788213,0.000788213
49,968.419,1.83504,1.99219,1.69721,0.41075,0.36253,0.32442,0.13508,2.10424,2.13714,1.93763,0.00076606,0.00076606,0.00076606
50,988.754,1.83199,1.99439,1.7015,0.44054,0.337,0.31511,0.13237,2.1127,2.18629,1.95015,0.000743864,0.000743864,0.000743864
51,1009.39,1.84962,2.01226,1.70973,0.43019,0.34233,0.32617,0.13387,2.12029,2.12872,1.94197,0.000721645,0.000721645,0.000721645
52,1029.37,1.82781,1.96561,1.68763,0.49058,0.34224,0.33133,0.14243,2.09371,2.11351,1.93702,0.000699426,0.000699426,0.000699426
53,1049.76,1.81511,1.93355,1.68854,0.45749,0.35549,0.3245,0.13845,2.11438,2.12978,1.94847,0.00067723,0.00067723,0.00067723
54,1069.73,1.79728,1.89826,1.67227,0.4626,0.34439,0.32657,0.13831,2.10807,2.12508,1.93254,0.000655077,0.000655077,0.000655077
55,1089.17,1.79724,1.90378,1.68416,0.46955,0.34473,0.33,0.13836,2.13494,2.12301,1.96426,0.00063299,0.00063299,0.00063299
56,1109.67,1.79305,1.89792,1.67212,0.45654,0.35442,0.32523,0.14216,2.08264,2.11103,1.90936,0.00061099,0.00061099,0.00061099
57,1129.8,1.77047,1.85812,1.6617,0.46407,0.36454,0.33194,0.14315,2.05453,2.06117,1.89908,0.0005891,0.0005891,0.0005891
58,1150.05,1.77633,1.88068,1.6501,0.50596,0.33824,0.3417,0.1517,2.07204,2.04617,1.92022,0.00056734,0.00056734,0.00056734
59,1170.36,1.76577,1.8746,1.65684,0.49226,0.35026,0.34576,0.15655,2.06825,2.0348,1.9075,0.000545733,0.000545733,0.000545733
60,1190.82,1.7246,1.82121,1.62296,0.52677,0.34783,0.35003,0.15668,2.05423,2.04321,1.9076,0.000524299,0.000524299,0.000524299
61,1210.97,1.73919,1.7941,1.62339,0.48038,0.36457,0.35177,0.15554,2.05593,2.0293,1.90742,0.00050306,0.00050306,0.00050306
62,1231.01,1.74134,1.79872,1.61504,0.46002,0.36147,0.34939,0.15945,2.03894,2.01202,1.89383,0.000482037,0.000482037,0.000482037
63,1250.97,1.71926,1.78321,1.61541,0.49571,0.3664,0.35708,0.16075,2.05818,2.01428,1.90612,0.00046125,0.00046125,0.00046125
64,1270.92,1.72491,1.75785,1.602,0.49836,0.38028,0.36401,0.162,2.04859,1.99065,1.88058,0.00044072,0.00044072,0.00044072
65,1290.9,1.71147,1.74902,1.59615,0.47979,0.37006,0.35237,0.15762,2.03905,2.00074,1.87195,0.000420468,0.000420468,0.000420468
66,1309.3,1.70068,1.71845,1.58959,0.50636,0.37398,0.35882,0.16049,2.04385,2.01352,1.88569,0.000400513,0.000400513,0.000400513
67,1328.31,1.71033,1.73065,1.59635,0.5295,0.3784,0.37015,0.16747,2.00791,1.9504,1.85957,0.000380874,0.000380874,0.000380874
68,1348.75,1.68325,1.68882,1.57911,0.49981,0.37743,0.36369,0.16234,2.02767,1.9547,1.87141,0.000361572,0.000361572,0.000361572
69,1369.3,1.70329,1.69978,1.5746,0.50361,0.36993,0.35534,0.16551,2.04343,1.9576,1.89313,0.000342625,0.000342625,0.000342625
70,1389.28,1.67574,1.67842,1.56742,0.47639,0.38057,0.36443,0.17043,2.04614,1.9532,1.88478,0.000324053,0.000324053,0.000324053
71,1409.39,1.68287,1.68337,1.58101,0.53142,0.35988,0.3618,0.17183,1.99347,1.95296,1.86104,0.000305872,0.000305872,0.000305872
72,1429.27,1.6619,1.66278,1.56784,0.54459,0.36738,0.36748,0.17691,1.98422,1.93354,1.85336,0.000288102,0.000288102,0.000288102
73,1449.49,1.67105,1.6375,1.55373,0.5366,0.37169,0.37552,0.17561,2.00744,1.93085,1.87873,0.00027076,0.00027076,0.00027076
74,1469.53,1.64083,1.61821,1.5426,0.51825,0.40257,0.38519,0.18168,2.0079,1.90369,1.86006,0.000253863,0.000253863,0.000253863
75,1488.49,1.65135,1.63389,1.55543,0.54019,0.37321,0.37871,0.17955,1.99596,1.91633,1.8631,0.000237427,0.000237427,0.000237427
