epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2136.33,2.30217,3.04179,2.09858,0.19604,0.19375,0.12167,0.04461,2.39405,3.10453,2.218,0.00118385,0.00118385,0.00118385
43,2195.32,2.3078,3.01871,2.08955,0.24993,0.17868,0.10666,0.04057,2.39344,2.93936,2.20433,0.00117253,0.00117253,0.00117253
44,2253.43,2.28629,2.98976,2.07012,0.22955,0.1654,0.1168,0.0439,2.34904,2.90811,2.182,0.00116102,0.00116102,0.00116102
45,2312.04,2.26888,2.98819,2.07481,0.22682,0.16037,0.11276,0.04101,2.40128,2.91973,2.21735,0.00114931,0.00114931,0.00114931
46,2371.44,2.25903,2.98353,2.0786,0.25195,0.18151,0.1276,0.04941,2.35937,2.88825,2.18241,0.00113742,0.00113742,0.00113742
47,2431.29,2.25797,2.96006,2.06647,0.22256,0.1979,0.12071,0.04004,2.40988,2.94601,2.17999,0.00112534,0.00112534,0.00112534
48,2490.82,2.26087,2.95923,2.05556,0.22199,0.20535,0.12945,0.04617,2.33753,2.9031,2.13372,0.00111309,0.00111309,0.00111309
49,2551.41,2.25447,2.93552,2.04793,0.22925,0.19503,0.12608,0.04385,2.38646,2.89678,2.19056,0.00110066,0.00110066,0.00110066
50,2614.43,2.2562,2.96181,2.06392,0.23656,0.19012,0.12375,0.04438,2.33329,2.86463,2.20624,0.00108807,0.00108807,0.00108807
51,2678.37,2.23659,2.90189,2.05294,0.21958,0.19971,0.1397,0.04829,2.33975,2.81432,2.16724,0.00107532,0.00107532,0.00107532
52,2737.96,2.23554,2.91516,2.0351,0.22873,0.21799,0.14195,0.053,2.32669,2.78807,2.13484,0.00106242,0.00106242,0.00106242
53,2797.79,2.21932,2.89522,2.0399,0.26069,0.20656,0.14906,0.05596,2.29466,2.77973,2.149,0.00104936,0.00104936,0.00104936
54,2857.72,2.21131,2.89,2.02577,0.25664,0.20112,0.14083,0.05335,2.2935,2.81264,2.15541,0.00103616,0.00103616,0.00103616
55,2917.1,2.21723,2.86903,2.02051,0.26319,0.21273,0.15221,0.05641,2.29449,2.74766,2.1246,0.00102282,0.00102282,0.00102282
56,2977.44,2.20864,2.85916,2.01677,0.27779,0.22645,0.15449,0.05917,2.29983,2.78886,2.08251,0.00100935,0.00100935,0.00100935
57,3037.18,2.20229,2.82898,2.01722,0.26007,0.21641,0.13706,0.05107,2.3284,2.75895,2.12961,0.000995756,0.000995756,0.000995756
58,3096.16,2.17944,2.83017,1.99417,0.24885,0.20787,0.14724,0.05545,2.30665,2.76204,2.13128,0.00098204,0.00098204,0.00098204
59,3156.3,2.19555,2.83645,2.02527,0.27519,0.21177,0.16133,0.06102,2.30313,2.71592,2.1386,0.000968209,0.000968209,0.000968209
